Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;listopad 2019;Nová výstavba;22531
Česko;Počet vydaných stavebních povolení - budovy;listopad 2019;Změny dokončených staveb;21512
Česko;Počet vydaných stavebních povolení - budovy;říjen 2019;Celkem;40188
Česko;Počet vydaných stavebních povolení - budovy;říjen 2019;Nová výstavba;20557
Česko;Počet vydaných stavebních povolení - budovy;říjen 2019;Změny dokončených staveb;19631
Česko;Počet vydaných stavebních povolení - budovy;září 2019;Celkem;36172
Česko;Počet vydaných stavebních povolení - budovy;září 2019;Nová výstavba;18435
Česko;Počet vydaných stavebních povolení - budovy;září 2019;Změny dokončených staveb;17737
Česko;Počet vydaných stavebních povolení - budovy;srpen 2019;Celkem;32072
Česko;Počet vydaných stavebních povolení - budovy;srpen 2019;Nová výstavba;16340
Česko;Počet vydaných stavebních povolení - budovy;srpen 2019;Změny dokončených staveb;15732
Česko;Počet vydaných stavebních povolení - budovy;červenec 2019;Celkem;27972
Česko;Počet vydaných stavebních povolení - budovy;červenec 2019;Nová výstavba;14219
Česko;Počet vydaných stavebních povolení - budovy;červenec 2019;Změny dokončených staveb;13753
Česko;Počet vydaných stavebních povolení - budovy;červen 2019;Celkem;23605
Česko;Počet vydaných stavebních povolení - budovy;červen 2019;Nová výstavba;11987
Česko;Počet vydaných stavebních povolení - budovy;červen 2019;Změny dokončených staveb;11618
Česko;Počet vydaných stavebních povolení - budovy;květen 2019;Celkem;19418
Česko;Počet vydaných stavebních povolení - budovy;květen 2019;Nová výstavba;9782
Česko;Počet vydaných stavebních povolení - budovy;květen 2019;Změny dokončených staveb;9636
Česko;Počet vydaných stavebních povolení - budovy;duben 2019;Celkem;14927
Česko;Počet vydaných stavebních povolení - budovy;duben 2019;Nová výstavba;7537
Česko;Počet vydaných stavebních povolení - budovy;duben 2019;Změny dokončených staveb;7390
Česko;Počet vydaných stavebních povolení - budovy;březen 2019;Celkem;10728
Česko;Počet vydaných stavebních povolení - budovy;březen 2019;Nová výstavba;5371
Česko;Počet vydaných stavebních povolení - budovy;březen 2019;Změny dokončených staveb;5357
Česko;Počet vydaných stavebních povolení - budovy;únor 2019;Celkem;6547
Česko;Počet vydaných stavebních povolení - budovy;únor 2019;Nová výstavba;3182
Česko;Počet vydaných stavebních povolení - budovy;únor 2019;Změny dokončených staveb;3365
Česko;Počet vydaných stavebních povolení - budovy;leden 2019;Celkem;3296
Česko;Počet vydaných stavebních povolení - budovy;leden 2019;Nová výstavba;1623
Česko;Počet vydaných stavebních povolení - budovy;leden 2019;Změny dokončených staveb;1673
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2018;Celkem;47115
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2018;Nová výstavba;23240
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2018;Změny dokončených staveb;23875
Česko;Počet vydaných stavebních povolení - budovy;listopad 2018;Celkem;43639
Česko;Počet vydaných stavebních povolení - budovy;listopad 2018;Nová výstavba;21663
Česko;Počet vydaných stavebních povolení - budovy;listopad 2018;Změny dokončených staveb;21976
Česko;Počet vydaných stavebních povolení - budovy;říjen 2018;Celkem;39854
Česko;Počet vydaných stavebních povolení - budovy;říjen 2018;Nová výstavba;19802
Česko;Počet vydaných stavebních povolení - budovy;říjen 2018;Změny dokončených staveb;20052
Česko;Počet vydaných stavebních povolení - budovy;září 2018;Celkem;35450
Česko;Počet vydaných stavebních povolení - budovy;září 2018;Nová výstavba;17602
Česko;Počet vydaných stavebních povolení - budovy;září 2018;Změny dokončených staveb;17848
Česko;Počet vydaných stavebních povolení - budovy;srpen 2018;Celkem;31571
Česko;Počet vydaných stavebních povolení - budovy;srpen 2018;Nová výstavba;15654
Česko;Počet vydaných stavebních povolení - budovy;srpen 2018;Změny dokončených staveb;15917
Česko;Počet vydaných stavebních povolení - budovy;červenec 2018;Celkem;27348
Česko;Počet vydaných stavebních povolení - budovy;červenec 2018;Nová výstavba;13533
Česko;Počet vydaných stavebních povolení - budovy;červenec 2018;Změny dokončených staveb;13815
Česko;Počet vydaných stavebních povolení - budovy;červen 2018;Celkem;23238
Česko;Počet vydaných stavebních povolení - budovy;červen 2018;Nová výstavba;11496
Česko;Počet vydaných stavebních povolení - budovy;červen 2018;Změny dokončených staveb;11742
Česko;Počet vydaných stavebních povolení - budovy;květen 2018;Celkem;18989
Česko;Počet vydaných stavebních povolení - budovy;květen 2018;Nová výstavba;9277
Česko;Počet vydaných stavebních povolení - budovy;květen 2018;Změny dokončených staveb;9712
Česko;Počet vydaných stavebních povolení - budovy;duben 2018;Celkem;14341
Česko;Počet vydaných stavebních povolení - budovy;duben 2018;Nová výstavba;6911
Česko;Počet vydaných stavebních povolení - budovy;duben 2018;Změny dokončených staveb;7430
Česko;Počet vydaných stavebních povolení - budovy;březen 2018;Celkem;10286
Česko;Počet vydaných stavebních povolení - budovy;březen 2018;Nová výstavba;4853
Česko;Počet vydaných stavebních povolení - budovy;březen 2018;Změny dokončených staveb;5433
Česko;Počet vydaných stavebních povolení - budovy;únor 2018;Celkem;6610
Česko;Počet vydaných stavebních povolení - budovy;únor 2018;Nová výstavba;3053
Česko;Počet vydaných stavebních povolení - budovy;únor 2018;Změny dokončených staveb;3557
Česko;Počet vydaných stavebních povolení - budovy;leden 2018;Celkem;3413
Česko;Počet vydaných stavebních povolení - budovy;leden 2018;Nová výstavba;1601
Česko;Počet vydaných stavebních povolení - budovy;leden 2018;Změny dokončených staveb;1812
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2017;Celkem;49850
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2017;Nová výstavba;23510
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2017;Změny dokončených staveb;26340
Česko;Počet vydaných stavebních povolení - budovy;listopad 2017;Celkem;46306
Česko;Počet vydaných stavebních povolení - budovy;listopad 2017;Nová výstavba;21845
Česko;Počet vydaných stavebních povolení - budovy;listopad 2017;Změny dokončených staveb;24461
Česko;Počet vydaných stavebních povolení - budovy;říjen 2017;Celkem;42319
Česko;Počet vydaných stavebních povolení - budovy;říjen 2017;Nová výstavba;19998
Česko;Počet vydaných stavebních povolení - budovy;říjen 2017;Změny dokončených staveb;22321
Česko;Počet vydaných stavebních povolení - budovy;září 2017;Celkem;37655
Česko;Počet vydaných stavebních povolení - budovy;září 2017;Nová výstavba;17724
Česko;Počet vydaných stavebních povolení - budovy;září 2017;Změny dokončených staveb;19931
Česko;Počet vydaných stavebních povolení - budovy;srpen 2017;Celkem;33280
Česko;Počet vydaných stavebních povolení - budovy;srpen 2017;Nová výstavba;15551
Česko;Počet vydaných stavebních povolení - budovy;srpen 2017;Změny dokončených staveb;17729
Česko;Počet vydaných stavebních povolení - budovy;červenec 2017;Celkem;28504
Česko;Počet vydaných stavebních povolení - budovy;červenec 2017;Nová výstavba;13228
Česko;Počet vydaných stavebních povolení - budovy;červenec 2017;Změny dokončených staveb;15276
Česko;Počet vydaných stavebních povolení - budovy;červen 2017;Celkem;24227
Česko;Počet vydaných stavebních povolení - budovy;červen 2017;Nová výstavba;11082
Česko;Počet vydaných stavebních povolení - budovy;červen 2017;Změny dokončených staveb;13145
Česko;Počet vydaných stavebních povolení - budovy;květen 2017;Celkem;19857
Česko;Počet vydaných stavebních povolení - budovy;květen 2017;Nová výstavba;9009
Česko;Počet vydaných stavebních povolení - budovy;květen 2017;Změny dokončených staveb;10848
Česko;Počet vydaných stavebních povolení - budovy;duben 2017;Celkem;14884
Česko;Počet vydaných stavebních povolení - budovy;duben 2017;Nová výstavba;6601
Česko;Počet vydaných stavebních povolení - budovy;duben 2017;Změny dokončených staveb;8283
Česko;Počet vydaných stavebních povolení - budovy;březen 2017;Celkem;10953
Česko;Počet vydaných stavebních povolení - budovy;březen 2017;Nová výstavba;4718
Česko;Počet vydaných stavebních povolení - budovy;březen 2017;Změny dokončených staveb;6235
Česko;Počet vydaných stavebních povolení - budovy;únor 2017;Celkem;6779
Česko;Počet vydaných stavebních povolení - budovy;únor 2017;Nová výstavba;2833
Česko;Počet vydaných stavebních povolení - budovy;únor 2017;Změny dokončených staveb;3946
Česko;Počet vydaných stavebních povolení - budovy;leden 2017;Celkem;3360
Česko;Počet vydaných stavebních povolení - budovy;leden 2017;Nová výstavba;1389
Česko;Počet vydaných stavebních povolení - budovy;leden 2017;Změny dokončených staveb;1971
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2016;Celkem;49231
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2016;Nová výstavba;21301
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2016;Změny dokončených staveb;27930
Česko;Počet vydaných stavebních povolení - budovy;listopad 2016;Celkem;45333
Česko;Počet vydaných stavebních povolení - budovy;listopad 2016;Nová výstavba;19569
Česko;Počet vydaných stavebních povolení - budovy;listopad 2016;Změny dokončených staveb;25764
Česko;Počet vydaných stavebních povolení - budovy;říjen 2016;Celkem;41085
Česko;Počet vydaných stavebních povolení - budovy;říjen 2016;Nová výstavba;17702
Česko;Počet vydaných stavebních povolení - budovy;říjen 2016;Změny dokončených staveb;23383
Česko;Počet vydaných stavebních povolení - budovy;září 2016;Celkem;36723
