Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Prachatice;200 až 499;
Počet obyvatel;2024;Prachatice;500 až 999;
Počet obyvatel;2024;Prachatice;1 000 až 1 9999;
Počet obyvatel;2024;Prachatice;2 000 až 4 999;
Počet obyvatel;2024;Prachatice;5 000 až 9 9999;
Počet obyvatel;2024;Prachatice;10 000 až 19 999;
Počet obyvatel;2024;Prachatice;20 000 až 49 999;
Počet obyvatel;2024;Prachatice;50 000 až 99 999;
Počet obyvatel;2024;Prachatice;100 000 a více;
Počet obyvatel;2024;Soběslav;Celkem;22659.0
Počet obyvatel;2024;Soběslav;méně než 200;
Počet obyvatel;2024;Soběslav;200 až 499;
Počet obyvatel;2024;Soběslav;500 až 999;
Počet obyvatel;2024;Soběslav;1 000 až 1 9999;
Počet obyvatel;2024;Soběslav;2 000 až 4 999;
Počet obyvatel;2024;Soběslav;5 000 až 9 9999;
Počet obyvatel;2024;Soběslav;10 000 až 19 999;
Počet obyvatel;2024;Soběslav;20 000 až 49 999;
Počet obyvatel;2024;Soběslav;50 000 až 99 999;
Počet obyvatel;2024;Soběslav;100 000 a více;
Počet obyvatel;2024;Strakonice;Celkem;45205.0
Počet obyvatel;2024;Strakonice;méně než 200;
Počet obyvatel;2024;Strakonice;200 až 499;
Počet obyvatel;2024;Strakonice;500 až 999;
Počet obyvatel;2024;Strakonice;1 000 až 1 9999;
Počet obyvatel;2024;Strakonice;2 000 až 4 999;
Počet obyvatel;2024;Strakonice;5 000 až 9 9999;
Počet obyvatel;2024;Strakonice;10 000 až 19 999;
Počet obyvatel;2024;Strakonice;20 000 až 49 999;
Počet obyvatel;2024;Strakonice;50 000 až 99 999;
Počet obyvatel;2024;Strakonice;100 000 a více;
Počet obyvatel;2024;Tábor;Celkem;81602.0
Počet obyvatel;2024;Tábor;méně než 200;
Počet obyvatel;2024;Tábor;200 až 499;
Počet obyvatel;2024;Tábor;500 až 999;
Počet obyvatel;2024;Tábor;1 000 až 1 9999;
Počet obyvatel;2024;Tábor;2 000 až 4 999;
Počet obyvatel;2024;Tábor;5 000 až 9 9999;
Počet obyvatel;2024;Tábor;10 000 až 19 999;
Počet obyvatel;2024;Tábor;20 000 až 49 999;
Počet obyvatel;2024;Tábor;50 000 až 99 999;
Počet obyvatel;2024;Tábor;100 000 a více;
Počet obyvatel;2024;Trhové Sviny;Celkem;19687.0
Počet obyvatel;2024;Trhové Sviny;méně než 200;
Počet obyvatel;2024;Trhové Sviny;200 až 499;
Počet obyvatel;2024;Trhové Sviny;500 až 999;
Počet obyvatel;2024;Trhové Sviny;1 000 až 1 9999;
Počet obyvatel;2024;Trhové Sviny;2 000 až 4 999;
Počet obyvatel;2024;Trhové Sviny;5 000 až 9 9999;
Počet obyvatel;2024;Trhové Sviny;10 000 až 19 999;
Počet obyvatel;2024;Trhové Sviny;20 000 až 49 999;
