Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2022,3705107.31268977
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2023,3818017.5772208762
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2008,1579.0644437787
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2009,1507.824382182
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2010,1548.1880214089
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2011,1556.8042853111
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2012,1566.4627766286
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2013,1573.7698480311
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2014,1610.7466134516
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2015,1626.1730010605
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2016,1640.0891980862
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2017,1724.8706615782
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2018,1806.4407258252
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2019,1888.945853068
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2020,1748.9987087907
