Ukazatel,Typ údaje,Území,CZ-COICOP,Měsíce,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,srpen 2025,154.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,srpen 2024,133.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,září 2024,146.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,říjen 2024,147.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,listopad 2024,147.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,prosinec 2024,147.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,leden 2025,147.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,únor 2025,147.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,březen 2025,147.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,duben 2025,147.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,květen 2025,147.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,červen 2025,147.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,červenec 2025,147.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,srpen 2025,147.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,srpen 2024,188.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,září 2024,189.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,říjen 2024,189.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,listopad 2024,190.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,prosinec 2024,190.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,leden 2025,191.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,únor 2025,192.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,březen 2025,193.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,duben 2025,195.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,květen 2025,196.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,červen 2025,197.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,červenec 2025,197.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,srpen 2025,198.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,srpen 2024,146.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,září 2024,146.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,říjen 2024,147.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,listopad 2024,147.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,prosinec 2024,146.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,leden 2025,148.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,únor 2025,149.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,březen 2025,149.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,duben 2025,150.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,květen 2025,150.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,červen 2025,150.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,červenec 2025,151.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,srpen 2025,151.0
