Území;Ukazatel;Typ ceny;Očištění;CZCPA;Čtvrtletí;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2010;5808.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2009;6606.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2009;5685.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2009;5957.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2009;7075.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2008;7082.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2008;6554.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2008;5210.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2008;7151.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2007;6986.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2007;7102.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2007;4663.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2007;4992.0
