Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.9
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);16367.0
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.5
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3846.6
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.2
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);17466.0
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.3
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3968.3
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.1
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);16930.0
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.4
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3853.0
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7
Česko;Q1 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);17067.0
Česko;Q1 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.1
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3978.5
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1 2005;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);16528.0
Česko;Q1 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.1
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3880.9
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.6
