Ukazatel;ČR a kraje;Věkové skupiny (pětileté);Roky;value
Přistěhovalí;Česko;90 - 94;2012;7.0
Přistěhovalí;Česko;90 - 94;2011;5.0
Přistěhovalí;Česko;90 - 94;2010;3.0
Přistěhovalí;Česko;90 - 94;2009;2.0
Přistěhovalí;Česko;90 - 94;2008;7.0
Přistěhovalí;Česko;90 - 94;2007;5.0
Přistěhovalí;Česko;90 - 94;2006;7.0
Přistěhovalí;Česko;90 - 94;2005;7.0
Přistěhovalí;Česko;90 - 94;2004;9.0
Přistěhovalí;Česko;90 - 94;2003;11.0
Přistěhovalí;Česko;90 - 94;2002;6.0
Přistěhovalí;Česko;90 - 94;2001;3.0
Přistěhovalí;Česko;90 - 94;2000;5.0
Přistěhovalí;Česko;95 a více;2024;
