Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.2552569317
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1806012826
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),80517.6796890184
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),6118.1415442075
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.2233595756
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),70.9371094788
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.4044873959
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.433027275
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),76157.1629159871
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4643.476084592
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4931292041
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),73.5888633159
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.4970681255
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.3290654301
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),73412.861130552
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4548.2262708901
Česko,2024,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.6045892499
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),42.5226241301
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.9518417617
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),97.810572845
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43025.1555776616
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),6282.3584862563
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),117.0982042293
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),46.8891242056
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.6491476118
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.4038666532
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39018.4834919187
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4473.191807327
Česko,2024,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),112.9487741721
