Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,prosinec 2022,Meziroční index (%) - očištěno o kalendářní vlivy,104.3784984741
Česko,Průmysl celkem,prosinec 2022,Meziměsíční index (%) - sezónně očištěno,99.9321566452
Česko,Průmysl celkem,prosinec 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,112.64712975
Česko,Průmysl celkem,listopad 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,111.69415573
Česko,Průmysl celkem,listopad 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.91254059
Česko,Průmysl celkem,listopad 2022,Meziroční index (%) - neočištěno,100.4320960624
Česko,Průmysl celkem,listopad 2022,Meziroční index (%) - očištěno o kalendářní vlivy,100.417748706
Česko,Průmysl celkem,listopad 2022,Meziměsíční index (%) - sezónně očištěno,102.9094554571
Česko,Průmysl celkem,listopad 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,101.90960508
Česko,Průmysl celkem,říjen 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,106.32914507
Česko,Průmysl celkem,říjen 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.00299791
Česko,Průmysl celkem,říjen 2022,Meziroční index (%) - neočištěno,102.6247625994
Česko,Průmysl celkem,říjen 2022,Meziroční index (%) - očištěno o kalendářní vlivy,102.7697041873
Česko,Průmysl celkem,říjen 2022,Meziměsíční index (%) - sezónně očištěno,96.9302427028
Česko,Průmysl celkem,říjen 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,107.58247984
Česko,Průmysl celkem,září 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,106.6662922
Česko,Průmysl celkem,září 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,103.17006862
Česko,Průmysl celkem,září 2022,Meziroční index (%) - neočištěno,107.9828635174
Česko,Průmysl celkem,září 2022,Meziroční index (%) - očištěno o kalendářní vlivy,107.9632934525
Česko,Průmysl celkem,září 2022,Meziměsíční index (%) - sezónně očištěno,100.1467509345
Česko,Průmysl celkem,září 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,96.46796315
Česko,Průmysl celkem,srpen 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,94.04702081
Česko,Průmysl celkem,srpen 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,103.01888744
Česko,Průmysl celkem,srpen 2022,Meziroční index (%) - neočištěno,109.5485491142
Česko,Průmysl celkem,srpen 2022,Meziroční index (%) - očištěno o kalendářní vlivy,106.3532776748
Česko,Průmysl celkem,srpen 2022,Meziměsíční index (%) - sezónně očištěno,100.7043294834
Česko,Průmysl celkem,srpen 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,88.32147616
Česko,Průmysl celkem,červenec 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.89876425
Česko,Průmysl celkem,červenec 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.29836986
Česko,Průmysl celkem,červenec 2022,Meziroční index (%) - neočištěno,97.7058483072
Česko,Průmysl celkem,červenec 2022,Meziroční index (%) - očištěno o kalendářní vlivy,100.6176677051
Česko,Průmysl celkem,červenec 2022,Meziměsíční index (%) - sezónně očištěno,99.5816982305
Česko,Průmysl celkem,červenec 2022,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,109.6814949
Česko,Průmysl celkem,červen 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,107.80262435
Česko,Průmysl celkem,červen 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.72808325
Česko,Průmysl celkem,červen 2022,Meziroční index (%) - neočištěno,103.0493543244
Česko,Průmysl celkem,červen 2022,Meziroční index (%) - očištěno o kalendářní vlivy,103.0595971826
Česko,Průmysl celkem,červen 2022,Meziměsíční index (%) - sezónně očištěno,101.3277777232
