Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2006,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2007,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2008,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2009,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2010,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2011,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2012,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2013,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2014,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2015,113.0454715849
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2016,109.9056128071
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2017,101.7332124243
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2018,97.1046868609
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2019,99.4302765813
