Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,31,Jihomoravský kraj,114.3296591
Míry plodnosti,2024,31,Olomoucký kraj,111.0516457
Míry plodnosti,2024,31,Zlínský kraj,101.7406963
Míry plodnosti,2024,31,Moravskoslezský kraj,93.79922669
Míry plodnosti,2024,32,Česko,91.48911262
Míry plodnosti,2024,32,Praha,97.66495495
Míry plodnosti,2024,32,Střední Čechy,93.95452024
Míry plodnosti,2024,32,Jihozápad,88.61736334
Míry plodnosti,2024,32,Severozápad,70.80880074
Míry plodnosti,2024,32,Severovýchod,92.25051918
Míry plodnosti,2024,32,Jihovýchod,98.38274933
Míry plodnosti,2024,32,Střední Morava,97.65142151
Míry plodnosti,2024,32,Moravskoslezsko,83.34488975
Míry plodnosti,2024,32,Hlavní město Praha,97.66495495
Míry plodnosti,2024,32,Středočeský kraj,93.95452024
Míry plodnosti,2024,32,Jihočeský kraj,95.82806574
Míry plodnosti,2024,32,Plzeňský kraj,81.15183246
Míry plodnosti,2024,32,Karlovarský kraj,55.98114319
Míry plodnosti,2024,32,Ústecký kraj,76.09838133
Míry plodnosti,2024,32,Liberecký kraj,87.49069248
Míry plodnosti,2024,32,Královéhradecký kraj,90.51590979
Míry plodnosti,2024,32,Pardubický kraj,97.95412275
Míry plodnosti,2024,32,Kraj Vysočina,103.5474593
Míry plodnosti,2024,32,Jihomoravský kraj,96.36295463
Míry plodnosti,2024,32,Olomoucký kraj,88.87720221
Míry plodnosti,2024,32,Zlínský kraj,107.2455434
Míry plodnosti,2024,32,Moravskoslezský kraj,83.34488975
Míry plodnosti,2024,33,Česko,85.78894301
Míry plodnosti,2024,33,Praha,95.97233903
Míry plodnosti,2024,33,Střední Čechy,84.50106157
Míry plodnosti,2024,33,Jihozápad,83.03113668
Míry plodnosti,2024,33,Severozápad,62.26612783
Míry plodnosti,2024,33,Severovýchod,82.64815804
Míry plodnosti,2024,33,Jihovýchod,95.14614237
Míry plodnosti,2024,33,Střední Morava,92.57748777
Míry plodnosti,2024,33,Moravskoslezsko,79.82409382
Míry plodnosti,2024,33,Hlavní město Praha,95.97233903
Míry plodnosti,2024,33,Středočeský kraj,84.50106157
Míry plodnosti,2024,33,Jihočeský kraj,83.02261994
Míry plodnosti,2024,33,Plzeňský kraj,83.03975843
Míry plodnosti,2024,33,Karlovarský kraj,51.92629816
Míry plodnosti,2024,33,Ústecký kraj,66.05316973
Míry plodnosti,2024,33,Liberecký kraj,74.80314961
Míry plodnosti,2024,33,Královéhradecký kraj,80.25439128
Míry plodnosti,2024,33,Pardubický kraj,91.77118385
Míry plodnosti,2024,33,Kraj Vysočina,89.00687071
Míry plodnosti,2024,33,Jihomoravský kraj,97.54608717
Míry plodnosti,2024,33,Olomoucký kraj,89.61408961
Míry plodnosti,2024,33,Zlínský kraj,95.85121602
Míry plodnosti,2024,33,Moravskoslezský kraj,79.82409382
Míry plodnosti,2024,34,Česko,73.62748304
Míry plodnosti,2024,34,Praha,85.15792416
Míry plodnosti,2024,34,Střední Čechy,73.62798492
Míry plodnosti,2024,34,Jihozápad,66.63326653
Míry plodnosti,2024,34,Severozápad,56.26674606
Míry plodnosti,2024,34,Severovýchod,75.40318274
Míry plodnosti,2024,34,Jihovýchod,78.77075238
Míry plodnosti,2024,34,Střední Morava,78.34482759
Míry plodnosti,2024,34,Moravskoslezsko,65.47860132
Míry plodnosti,2024,34,Hlavní město Praha,85.15792416
Míry plodnosti,2024,34,Středočeský kraj,73.62798492
Míry plodnosti,2024,34,Jihočeský kraj,68.37394331
Míry plodnosti,2024,34,Plzeňský kraj,64.86622918
Míry plodnosti,2024,34,Karlovarský kraj,43.47826087
Míry plodnosti,2024,34,Ústecký kraj,61.09061091
Míry plodnosti,2024,34,Liberecký kraj,69.28571429
Míry plodnosti,2024,34,Královéhradecký kraj,80.78668684
Míry plodnosti,2024,34,Pardubický kraj,75.1995089
Míry plodnosti,2024,34,Kraj Vysočina,77.91787908
Míry plodnosti,2024,34,Jihomoravský kraj,79.09124043
Míry plodnosti,2024,34,Olomoucký kraj,70.74371599
Míry plodnosti,2024,34,Zlínský kraj,86.99498673
Míry plodnosti,2024,34,Moravskoslezský kraj,65.47860132
Míry plodnosti,2024,35,Česko,63.95903479
Míry plodnosti,2024,35,Praha,76.30595314
Míry plodnosti,2024,35,Střední Čechy,66.44824409
Míry plodnosti,2024,35,Jihozápad,61.57849089
Míry plodnosti,2024,35,Severozápad,49.20212766
Míry plodnosti,2024,35,Severovýchod,63.14243759
Míry plodnosti,2024,35,Jihovýchod,64.70588235
Míry plodnosti,2024,35,Střední Morava,64.70588235
Míry plodnosti,2024,35,Moravskoslezsko,57.68973364
Míry plodnosti,2024,35,Hlavní město Praha,76.30595314
Míry plodnosti,2024,35,Středočeský kraj,66.44824409
Míry plodnosti,2024,35,Jihočeský kraj,70.15834348
Míry plodnosti,2024,35,Plzeňský kraj,52.69793243
Míry plodnosti,2024,35,Karlovarský kraj,46.75467547
Míry plodnosti,2024,35,Ústecký kraj,50.1010101
Míry plodnosti,2024,35,Liberecký kraj,53.55267763
