Území;Týdny;Ukazatel;value
Česko; 39. týden 2021;Index cen (%);103.2
Česko; 38. týden 2021;Průměrná cena bez daní (Kč/tis. l);13214.0
Česko; 38. týden 2021;Index cen (%);101.2
Česko; 37. týden 2021;Průměrná cena bez daní (Kč/tis. l);13062.0
Česko; 37. týden 2021;Index cen (%);99.9
Česko; 36. týden 2021;Průměrná cena bez daní (Kč/tis. l);13071.0
Česko; 36. týden 2021;Index cen (%);101.5
Česko; 35. týden 2021;Průměrná cena bez daní (Kč/tis. l);12880.0
Česko; 35. týden 2021;Index cen (%);102.1
Česko; 34. týden 2021;Průměrná cena bez daní (Kč/tis. l);12617.0
Česko; 34. týden 2021;Index cen (%);99.7
Česko; 33. týden 2021;Průměrná cena bez daní (Kč/tis. l);12660.0
Česko; 33. týden 2021;Index cen (%);97.9
Česko; 32. týden 2021;Průměrná cena bez daní (Kč/tis. l);12931.0
Česko; 32. týden 2021;Index cen (%);99.1
Česko; 31. týden 2021;Průměrná cena bez daní (Kč/tis. l);13047.0
Česko; 31. týden 2021;Index cen (%);101.1
Česko; 30. týden 2021;Průměrná cena bez daní (Kč/tis. l);12911.0
Česko; 30. týden 2021;Index cen (%);99.1
Česko; 29. týden 2021;Průměrná cena bez daní (Kč/tis. l);13029.0
Česko; 29. týden 2021;Index cen (%);101.0
Česko; 28. týden 2021;Průměrná cena bez daní (Kč/tis. l);12894.0
Česko; 28. týden 2021;Index cen (%);101.5
Česko; 26. týden 2021;Průměrná cena bez daní (Kč/tis. l);12698.0
Česko; 26. týden 2021;Index cen (%);101.9
Česko; 25. týden 2021;Průměrná cena bez daní (Kč/tis. l);12467.0
Česko; 25. týden 2021;Index cen (%);101.0
Česko; 24. týden 2021;Průměrná cena bez daní (Kč/tis. l);12338.0
Česko; 24. týden 2021;Index cen (%);102.2
Česko; 23. týden 2021;Průměrná cena bez daní (Kč/tis. l);12078.0
Česko; 23. týden 2021;Index cen (%);102.6
Česko; 22. týden 2021;Průměrná cena bez daní (Kč/tis. l);11768.0
Česko; 22. týden 2021;Index cen (%);100.0
Česko; 21. týden 2021;Průměrná cena bez daní (Kč/tis. l);11768.0
Česko; 21. týden 2021;Index cen (%);98.4
Česko; 20. týden 2021;Průměrná cena bez daní (Kč/tis. l);11956.0
Česko; 20. týden 2021;Index cen (%);101.0
Česko; 19. týden 2021;Průměrná cena bez daní (Kč/tis. l);11837.0
Česko; 19. týden 2021;Index cen (%);103.7
Česko; 18. týden 2021;Průměrná cena bez daní (Kč/tis. l);11418.0
Česko; 18. týden 2021;Index cen (%);100.9
Česko; 17. týden 2021;Průměrná cena bez daní (Kč/tis. l);11321.0
Česko; 17. týden 2021;Index cen (%);99.6
