Ukazatel;Území;Reprezentant pro oblast cen;Měsíce;value
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];květen 2023;9814.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];červen 2023;9483.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];červenec 2023;9182.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];srpen 2023;9129.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];září 2023;8568.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];říjen 2023;7775.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];listopad 2023;7718.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];prosinec 2023;7678.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];leden 2024;7671.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];únor 2024;7617.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];březen 2024;7608.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];duben 2024;7575.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];květen 2024;7589.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];červen 2024;7583.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];červenec 2024;7554.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];srpen 2024;7551.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];září 2024;7568.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];říjen 2024;7575.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];listopad 2024;7570.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];prosinec 2024;7608.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];leden 2025;7731.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];únor 2025;7801.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];březen 2025;7852.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro předvýkrm prasat [t];duben 2025;7786.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2013;7791.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2013;7796.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2013;7818.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2013;7678.87
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2013;7657.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2013;7657.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2013;7633.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2013;7523.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2013;7023.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2013;6849.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2013;6767.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2013;6755.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2014;6980.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2014;6980.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2014;7023.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2014;7049.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2014;7065.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2014;6993.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2014;6950.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2014;6924.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2014;6721.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2014;6668.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2014;6609.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2014;6551.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2015;6549.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2015;6548.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2015;6569.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2015;6549.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2015;6570.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2015;6566.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2015;6573.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2015;6578.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2015;6569.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2015;6562.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2015;6561.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2015;6560.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2016;6473.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2016;6474.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2016;6405.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2016;6386.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2016;6393.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2016;6361.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2016;6377.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2016;6366.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2016;6143.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2016;6141.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2016;6098.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2016;6074.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2017;5757.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2017;5749.52
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2017;5780.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2017;5773.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2017;5804.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2017;5804.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2017;5790.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2017;5778.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2017;5792.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2017;5777.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2017;5782.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2017;5784.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2018;5788.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2018;5807.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2018;5819.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2018;5823.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2018;5825.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2018;5847.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2018;5843.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2018;5884.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2018;6069.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2018;6098.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2018;6118.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2018;6123.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2019;6100.05
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2019;6114.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2019;6113.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2019;6208.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2019;6201.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2019;6190.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2019;6184.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2019;6152.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2019;6001.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2019;5981.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2019;5953.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2019;5942.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2020;5928.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2020;5887.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2020;5887.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2020;5927.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2020;6006.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2020;6016.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2020;6027.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2020;5988.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2020;5951.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2020;5942.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2020;5919.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2020;5970.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2021;6074.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2021;6233.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2021;6307.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2021;6325.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2021;6296.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2021;6330.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2021;6452.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2021;6541.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2021;6600.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2021;6825.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2021;7228.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2021;7296.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2022;7552.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2022;7785.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2022;8036.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2022;8893.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2022;9231.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2022;9306.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2022;9487.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2022;9498.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2022;9632.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2022;9755.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2022;9795.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2022;9848.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2023;9755.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2023;9659.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2023;9508.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2023;9340.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2023;9065.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2023;8793.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2023;8566.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2023;8455.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2023;7773.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2023;7217.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2023;7151.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2023;7036.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2024;6952.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2024;6934.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2024;6928.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2024;6917.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];květen 2024;6736.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červen 2024;6718.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];červenec 2024;6763.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];srpen 2024;6768.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];září 2024;6808.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];říjen 2024;6868.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];listopad 2024;6830.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];prosinec 2024;6869.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];leden 2025;7101.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];únor 2025;7079.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];březen 2025;7090.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Krmná směs pro nosnice [t];duben 2025;7175.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2013;17.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2013;17.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2013;17.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2013;17.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2013;17.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2013;17.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2013;17.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2013;17.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2013;17.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2013;17.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2013;17.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2013;17.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2014;17.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2014;16.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2014;16.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2014;16.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2014;16.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2014;16.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2014;16.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2014;16.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2014;16.87
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2014;16.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2014;16.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2014;16.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2015;16.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2015;16.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2015;16.52
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2015;16.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2015;16.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2015;16.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2015;16.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2015;16.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2015;16.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2015;16.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2015;16.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2015;16.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2016;15.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2016;15.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2016;15.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2016;15.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2016;15.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2016;15.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2016;14.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2016;14.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2016;15.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2016;15.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2016;15.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2016;14.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2017;14.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2017;15.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2017;15.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2017;15.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2017;15.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2017;15.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2017;15.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2017;15.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2017;15.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2017;15.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2017;15.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2017;15.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2018;15.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2018;15.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2018;15.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2018;15.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2018;15.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2018;15.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2018;15.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2018;15.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2018;15.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2018;15.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2018;15.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2018;15.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2019;16.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2019;16.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2019;16.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2019;16.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2019;16.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2019;16.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2019;16.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2019;16.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];září 2019;16.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];říjen 2019;16.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];listopad 2019;16.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];prosinec 2019;16.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];leden 2020;16.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];únor 2020;16.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];březen 2020;16.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];duben 2020;17.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];květen 2020;17.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červen 2020;17.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];červenec 2020;17.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Chléb konzumní kmínový [kg];srpen 2020;17.49
