Území;Čtvrtletí;Ukazatel;value
Česko;4. čtvrtletí 2019;Rozvody na 1 000 obyvatel;2.33342359037128
Česko;4. čtvrtletí 2019;Živě narození na 1 000 obyvatel;9.77647698329408
Česko;4. čtvrtletí 2019;Potraty na 1 000 obyvatel;2.8318787966491
Česko;4. čtvrtletí 2019;UPT na 1 000 obyvatel;1.50984049079535
Česko;4. čtvrtletí 2019;Zemřelí na 1 000 obyvatel;10.5510682085374
Česko;4. čtvrtletí 2019;Přistěhovalí na 1 000 obyvatel;6.48585609062162
Česko;4. čtvrtletí 2019;Vystěhovalí na 1 000 obyvatel;1.5785033449736
Česko;4. čtvrtletí 2019;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.774591225243337
Česko;4. čtvrtletí 2019;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.90735274564801
Česko;4. čtvrtletí 2019;Celkový přírůstek/úbytek na 1 000 obyvatel;4.13276152040468
Česko;4. čtvrtletí 2019;Kojenecká úmrtnost;2.80930868228237
Česko;4. čtvrtletí 2019;Novorozenecká úmrtnost;1.86021791124103
Česko;3. čtvrtletí 2019;Sňatky na 1 000 obyvatel;9.18865883217431
Česko;3. čtvrtletí 2019;Rozvody na 1 000 obyvatel;2.02421033158835
Česko;3. čtvrtletí 2019;Živě narození na 1 000 obyvatel;11.2351663218121
Česko;3. čtvrtletí 2019;Potraty na 1 000 obyvatel;2.85143489522258
Česko;3. čtvrtletí 2019;UPT na 1 000 obyvatel;1.5853279373152
Česko;3. čtvrtletí 2019;Zemřelí na 1 000 obyvatel;9.95716754627835
Česko;3. čtvrtletí 2019;Přistěhovalí na 1 000 obyvatel;5.92807108674451
Česko;3. čtvrtletí 2019;Vystěhovalí na 1 000 obyvatel;2.19664168717069
Česko;3. čtvrtletí 2019;Přirozený přírůstek/úbytek na 1 000 obyvatel;1.27799877553375
Česko;3. čtvrtletí 2019;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.73142939957382
Česko;3. čtvrtletí 2019;Celkový přírůstek/úbytek na 1 000 obyvatel;5.00942817510757
Česko;3. čtvrtletí 2019;Kojenecká úmrtnost;1.91843349981808
Česko;3. čtvrtletí 2019;Novorozenecká úmrtnost;1.05844606886515
Česko;2. čtvrtletí 2019;Sňatky na 1 000 obyvatel;7.11285321057813
Česko;2. čtvrtletí 2019;Rozvody na 1 000 obyvatel;2.39477594343878
Česko;2. čtvrtletí 2019;Živě narození na 1 000 obyvatel;10.8065863222064
Česko;2. čtvrtletí 2019;Potraty na 1 000 obyvatel;2.94663524425949
Česko;2. čtvrtletí 2019;UPT na 1 000 obyvatel;1.65821117792619
Česko;2. čtvrtletí 2019;Zemřelí na 1 000 obyvatel;10.1351010788765
