Ukazatel;Území;Roky;value
Počet obyvatel - celkem;Liberecký kraj;2012;438594.0
Počet obyvatel - celkem;Liberecký kraj;2011;438600.0
Počet obyvatel - celkem;Liberecký kraj;2010;439942.0
Počet obyvatel - celkem;Liberecký kraj;2009;439027.0
Počet obyvatel - celkem;Liberecký kraj;2008;437325.0
Počet obyvatel - celkem;Liberecký kraj;2007;433948.0
Počet obyvatel - celkem;Liberecký kraj;2006;430774.0
Počet obyvatel - celkem;Liberecký kraj;2005;429031.0
Počet obyvatel - celkem;Liberecký kraj;2004;427563.0
Počet obyvatel - celkem;Liberecký kraj;2003;427722.0
Počet obyvatel - celkem;Liberecký kraj;2002;427321.0
Počet obyvatel - celkem;Liberecký kraj;2001;427396.0
Počet obyvatel - celkem;Liberecký kraj;2000;429121.0
Počet obyvatel - celkem;Liberecký kraj;1999;429012.0
Počet obyvatel - celkem;Liberecký kraj;1998;429080.0
Počet obyvatel - celkem;Liberecký kraj;1997;428937.0
Počet obyvatel - celkem;Liberecký kraj;1996;429128.0
Počet obyvatel - celkem;Liberecký kraj;1995;428974.0
Počet obyvatel - celkem;Liberecký kraj;1994;428739.0
Počet obyvatel - celkem;Liberecký kraj;1993;428564.0
Počet obyvatel - celkem;Liberecký kraj;1992;427405.0
Počet obyvatel - celkem;Liberecký kraj;1991;425959.0
Počet obyvatel - celkem;Liberecký kraj;1990;524996.0
Počet obyvatel - celkem;Liberecký kraj;1989;428006.0
Počet obyvatel - celkem;Liberecký kraj;1988;
Počet obyvatel - celkem;Liberecký kraj;1987;
Počet obyvatel - celkem;Liberecký kraj;1986;
Počet obyvatel - celkem;Liberecký kraj;1985;
Počet obyvatel - celkem;Liberecký kraj;1984;
Počet obyvatel - celkem;Liberecký kraj;1983;
Počet obyvatel - celkem;Liberecký kraj;1982;
Počet obyvatel - celkem;Liberecký kraj;1981;
Počet obyvatel - celkem;Královéhradecký kraj;2024;555923.0
Počet obyvatel - celkem;Královéhradecký kraj;2023;556949.0
Počet obyvatel - celkem;Královéhradecký kraj;2022;555267.0
Počet obyvatel - celkem;Královéhradecký kraj;2021;542583.0
Počet obyvatel - celkem;Královéhradecký kraj;2020;550803.0
Počet obyvatel - celkem;Královéhradecký kraj;2019;551647.0
Počet obyvatel - celkem;Královéhradecký kraj;2018;551021.0
Počet obyvatel - celkem;Královéhradecký kraj;2017;551089.0
Počet obyvatel - celkem;Královéhradecký kraj;2016;550804.0
Počet obyvatel - celkem;Královéhradecký kraj;2015;551421.0
Počet obyvatel - celkem;Královéhradecký kraj;2014;551590.0
Počet obyvatel - celkem;Královéhradecký kraj;2013;551909.0
Počet obyvatel - celkem;Královéhradecký kraj;2012;552946.0
Počet obyvatel - celkem;Královéhradecký kraj;2011;553856.0
Počet obyvatel - celkem;Královéhradecký kraj;2010;554803.0
Počet obyvatel - celkem;Královéhradecký kraj;2009;554402.0
Počet obyvatel - celkem;Královéhradecký kraj;2008;554520.0
Počet obyvatel - celkem;Královéhradecký kraj;2007;552212.0
Počet obyvatel - celkem;Královéhradecký kraj;2006;549643.0
Počet obyvatel - celkem;Královéhradecký kraj;2005;548368.0
Počet obyvatel - celkem;Královéhradecký kraj;2004;547296.0
Počet obyvatel - celkem;Královéhradecký kraj;2003;547563.0
Počet obyvatel - celkem;Královéhradecký kraj;2002;548437.0
Počet obyvatel - celkem;Královéhradecký kraj;2001;549329.0
Počet obyvatel - celkem;Královéhradecký kraj;2000;550780.0
Počet obyvatel - celkem;Královéhradecký kraj;1999;551651.0
Počet obyvatel - celkem;Královéhradecký kraj;1998;552481.0
Počet obyvatel - celkem;Královéhradecký kraj;1997;552852.0
Počet obyvatel - celkem;Královéhradecký kraj;1996;553382.0
Počet obyvatel - celkem;Královéhradecký kraj;1995;553827.0
Počet obyvatel - celkem;Královéhradecký kraj;1994;554306.0
Počet obyvatel - celkem;Královéhradecký kraj;1993;554500.0
Počet obyvatel - celkem;Královéhradecký kraj;1992;554055.0
Počet obyvatel - celkem;Královéhradecký kraj;1991;553439.0
Počet obyvatel - celkem;Královéhradecký kraj;1990;453098.0
Počet obyvatel - celkem;Královéhradecký kraj;1989;556881.0
Počet obyvatel - celkem;Královéhradecký kraj;1988;
Počet obyvatel - celkem;Královéhradecký kraj;1987;
Počet obyvatel - celkem;Královéhradecký kraj;1986;
Počet obyvatel - celkem;Královéhradecký kraj;1985;
Počet obyvatel - celkem;Královéhradecký kraj;1984;
Počet obyvatel - celkem;Královéhradecký kraj;1983;
Počet obyvatel - celkem;Královéhradecký kraj;1982;
Počet obyvatel - celkem;Královéhradecký kraj;1981;
Počet obyvatel - celkem;Pardubický kraj;2024;530469.0
Počet obyvatel - celkem;Pardubický kraj;2023;530560.0
Počet obyvatel - celkem;Pardubický kraj;2022;528761.0
Počet obyvatel - celkem;Pardubický kraj;2021;514518.0
Počet obyvatel - celkem;Pardubický kraj;2020;522856.0
Počet obyvatel - celkem;Pardubický kraj;2019;522662.0
Počet obyvatel - celkem;Pardubický kraj;2018;520316.0
Počet obyvatel - celkem;Pardubický kraj;2017;518337.0
Počet obyvatel - celkem;Pardubický kraj;2016;517087.0
Počet obyvatel - celkem;Pardubický kraj;2015;516149.0
Počet obyvatel - celkem;Pardubický kraj;2014;516372.0
Počet obyvatel - celkem;Pardubický kraj;2013;515985.0
Počet obyvatel - celkem;Pardubický kraj;2012;516440.0
Počet obyvatel - celkem;Pardubický kraj;2011;516411.0
Počet obyvatel - celkem;Pardubický kraj;2010;517164.0
Počet obyvatel - celkem;Pardubický kraj;2009;516329.0
Počet obyvatel - celkem;Pardubický kraj;2008;515185.0
Počet obyvatel - celkem;Pardubický kraj;2007;511400.0
Počet obyvatel - celkem;Pardubický kraj;2006;507751.0
Počet obyvatel - celkem;Pardubický kraj;2005;506024.0
Počet obyvatel - celkem;Pardubický kraj;2004;505285.0
Počet obyvatel - celkem;Pardubický kraj;2003;505486.0
Počet obyvatel - celkem;Pardubický kraj;2002;506534.0
Počet obyvatel - celkem;Pardubický kraj;2001;507176.0
Počet obyvatel - celkem;Pardubický kraj;2000;508566.0
Počet obyvatel - celkem;Pardubický kraj;1999;508744.0
Počet obyvatel - celkem;Pardubický kraj;1998;509353.0
Počet obyvatel - celkem;Pardubický kraj;1997;509635.0
Počet obyvatel - celkem;Pardubický kraj;1996;509807.0
Počet obyvatel - celkem;Pardubický kraj;1995;510072.0
Počet obyvatel - celkem;Pardubický kraj;1994;510581.0
Počet obyvatel - celkem;Pardubický kraj;1993;510906.0
Počet obyvatel - celkem;Pardubický kraj;1992;510297.0
Počet obyvatel - celkem;Pardubický kraj;1991;509283.0
Počet obyvatel - celkem;Pardubický kraj;1990;508785.0
Počet obyvatel - celkem;Pardubický kraj;1989;510715.0
Počet obyvatel - celkem;Pardubický kraj;1988;
Počet obyvatel - celkem;Pardubický kraj;1987;
Počet obyvatel - celkem;Pardubický kraj;1986;
Počet obyvatel - celkem;Pardubický kraj;1985;
Počet obyvatel - celkem;Pardubický kraj;1984;
Počet obyvatel - celkem;Pardubický kraj;1983;
Počet obyvatel - celkem;Pardubický kraj;1982;
Počet obyvatel - celkem;Pardubický kraj;1981;
Počet obyvatel - celkem;Kraj Vysočina;2024;517647.0
Počet obyvatel - celkem;Kraj Vysočina;2023;517960.0
Počet obyvatel - celkem;Kraj Vysočina;2022;514777.0
Počet obyvatel - celkem;Kraj Vysočina;2021;504025.0
Počet obyvatel - celkem;Kraj Vysočina;2020;508852.0
Počet obyvatel - celkem;Kraj Vysočina;2019;509813.0
Počet obyvatel - celkem;Kraj Vysočina;2018;509274.0
Počet obyvatel - celkem;Kraj Vysočina;2017;508916.0
Počet obyvatel - celkem;Kraj Vysočina;2016;508952.0
Počet obyvatel - celkem;Kraj Vysočina;2015;509475.0
Počet obyvatel - celkem;Kraj Vysočina;2014;509895.0
Počet obyvatel - celkem;Kraj Vysočina;2013;510209.0
Počet obyvatel - celkem;Kraj Vysočina;2012;511207.0
Počet obyvatel - celkem;Kraj Vysočina;2011;511937.0
Počet obyvatel - celkem;Kraj Vysočina;2010;514569.0
Počet obyvatel - celkem;Kraj Vysočina;2009;514992.0
Počet obyvatel - celkem;Kraj Vysočina;2008;515411.0
Počet obyvatel - celkem;Kraj Vysočina;2007;513677.0
Počet obyvatel - celkem;Kraj Vysočina;2006;511645.0
Počet obyvatel - celkem;Kraj Vysočina;2005;510767.0
Počet obyvatel - celkem;Kraj Vysočina;2004;517153.0
Počet obyvatel - celkem;Kraj Vysočina;2003;517511.0
Počet obyvatel - celkem;Kraj Vysočina;2002;517630.0
Počet obyvatel - celkem;Kraj Vysočina;2001;518315.0
Počet obyvatel - celkem;Kraj Vysočina;2000;520763.0
Počet obyvatel - celkem;Kraj Vysočina;1999;521472.0
