Ukazatel;Rok;ČR, Reg. soudržnosti, Kraje;Věk (roky);Pohlaví;value
Počet obyvatel k 31. 12.;2023;Česko;90;Ženy;11866
Počet obyvatel k 31. 12.;2023;Česko;91;Celkem;13911
Počet obyvatel k 31. 12.;2023;Česko;91;Muži;3881
Počet obyvatel k 31. 12.;2023;Česko;91;Ženy;10030
Počet obyvatel k 31. 12.;2023;Česko;92;Celkem;10864
Počet obyvatel k 31. 12.;2023;Česko;92;Muži;2936
Počet obyvatel k 31. 12.;2023;Česko;92;Ženy;7928
Počet obyvatel k 31. 12.;2023;Česko;93;Celkem;8469
Počet obyvatel k 31. 12.;2023;Česko;93;Muži;2217
Počet obyvatel k 31. 12.;2023;Česko;93;Ženy;6252
Počet obyvatel k 31. 12.;2023;Česko;94;Celkem;5772
Počet obyvatel k 31. 12.;2023;Česko;94;Muži;1371
Počet obyvatel k 31. 12.;2023;Česko;94;Ženy;4401
Počet obyvatel k 31. 12.;2023;Česko;95;Celkem;4086
Počet obyvatel k 31. 12.;2023;Česko;95;Muži;926
Počet obyvatel k 31. 12.;2023;Česko;95;Ženy;3160
Počet obyvatel k 31. 12.;2023;Česko;96;Celkem;2643
Počet obyvatel k 31. 12.;2023;Česko;96;Muži;560
Počet obyvatel k 31. 12.;2023;Česko;96;Ženy;2083
Počet obyvatel k 31. 12.;2023;Česko;97;Celkem;1846
Počet obyvatel k 31. 12.;2023;Česko;97;Muži;393
Počet obyvatel k 31. 12.;2023;Česko;97;Ženy;1453
Počet obyvatel k 31. 12.;2023;Česko;98;Celkem;1179
Počet obyvatel k 31. 12.;2023;Česko;98;Muži;209
Počet obyvatel k 31. 12.;2023;Česko;98;Ženy;970
Počet obyvatel k 31. 12.;2023;Česko;99;Celkem;705
Počet obyvatel k 31. 12.;2023;Česko;99;Muži;102
Počet obyvatel k 31. 12.;2023;Česko;99;Ženy;603
Počet obyvatel k 31. 12.;2023;Česko;100 a více;Celkem;911
Počet obyvatel k 31. 12.;2023;Česko;100 a více;Muži;117
Počet obyvatel k 31. 12.;2023;Česko;100 a více;Ženy;794
