Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Bhútán;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bhútán;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bolívarovská republika Venezuela;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bolívarovská republika Venezuela;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bonaire, Svatý Eustach a Saba;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bosna a Hercegovina;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bosna a Hercegovina;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bosna a Hercegovina;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bosna a Hercegovina;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bosna a Hercegovina;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bosna a Hercegovina;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bosna a Hercegovina;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Botswana;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Botswana;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Botswana;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Botswana;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Botswana;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Botswana;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Botswana;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bouvetův ostrov;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bouvetův ostrov;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bouvetův ostrov;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bouvetův ostrov;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bouvetův ostrov;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bouvetův ostrov;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bouvetův ostrov;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Brazílie;Pohyb zboží z ČR (v mil. Kč, FOB);975.117966
Česko;prosinec 2024;Brazílie;Pohyb zboží do ČR (v mil. Kč, CIF);452.173194
