Právní forma;Roky;SO ORP a obce;Ukazatel;value
Obecní rozpočty;2023;Havířov;Výdaje celkem;
Obecní rozpočty;2023;Havířov;Běžné výdaje ;
Obecní rozpočty;2023;Havířov;Kapitalové výdaje ;
Obecní rozpočty;2023;Havířov;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Havlíčkův Brod;Příjmy celkem;
Obecní rozpočty;2023;Havlíčkův Brod;Daňové příjmy ;
Obecní rozpočty;2023;Havlíčkův Brod;Nedaňové příjmy ;
Obecní rozpočty;2023;Havlíčkův Brod;Kapitalové příjmy ;
Obecní rozpočty;2023;Havlíčkův Brod;Přijaté transféry;
Obecní rozpočty;2023;Havlíčkův Brod;Výdaje celkem;
Obecní rozpočty;2023;Havlíčkův Brod;Běžné výdaje ;
Obecní rozpočty;2023;Havlíčkův Brod;Kapitalové výdaje ;
Obecní rozpočty;2023;Havlíčkův Brod;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hlinsko;Příjmy celkem;
Obecní rozpočty;2023;Hlinsko;Daňové příjmy ;
Obecní rozpočty;2023;Hlinsko;Nedaňové příjmy ;
Obecní rozpočty;2023;Hlinsko;Kapitalové příjmy ;
Obecní rozpočty;2023;Hlinsko;Přijaté transféry;
Obecní rozpočty;2023;Hlinsko;Výdaje celkem;
Obecní rozpočty;2023;Hlinsko;Běžné výdaje ;
Obecní rozpočty;2023;Hlinsko;Kapitalové výdaje ;
Obecní rozpočty;2023;Hlinsko;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hlučín;Příjmy celkem;
Obecní rozpočty;2023;Hlučín;Daňové příjmy ;
Obecní rozpočty;2023;Hlučín;Nedaňové příjmy ;
Obecní rozpočty;2023;Hlučín;Kapitalové příjmy ;
Obecní rozpočty;2023;Hlučín;Přijaté transféry;
Obecní rozpočty;2023;Hlučín;Výdaje celkem;
Obecní rozpočty;2023;Hlučín;Běžné výdaje ;
Obecní rozpočty;2023;Hlučín;Kapitalové výdaje ;
Obecní rozpočty;2023;Hlučín;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hodonín;Příjmy celkem;
Obecní rozpočty;2023;Hodonín;Daňové příjmy ;
Obecní rozpočty;2023;Hodonín;Nedaňové příjmy ;
Obecní rozpočty;2023;Hodonín;Kapitalové příjmy ;
Obecní rozpočty;2023;Hodonín;Přijaté transféry;
Obecní rozpočty;2023;Hodonín;Výdaje celkem;
Obecní rozpočty;2023;Hodonín;Běžné výdaje ;
Obecní rozpočty;2023;Hodonín;Kapitalové výdaje ;
Obecní rozpočty;2023;Hodonín;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Holešov;Příjmy celkem;
Obecní rozpočty;2023;Holešov;Daňové příjmy ;
Obecní rozpočty;2023;Holešov;Nedaňové příjmy ;
Obecní rozpočty;2023;Holešov;Kapitalové příjmy ;
Obecní rozpočty;2023;Holešov;Přijaté transféry;
Obecní rozpočty;2023;Holešov;Výdaje celkem;
Obecní rozpočty;2023;Holešov;Běžné výdaje ;
Obecní rozpočty;2023;Holešov;Kapitalové výdaje ;
Obecní rozpočty;2023;Holešov;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Holice;Příjmy celkem;
Obecní rozpočty;2023;Holice;Daňové příjmy ;
Obecní rozpočty;2023;Holice;Nedaňové příjmy ;
Obecní rozpočty;2023;Holice;Kapitalové příjmy ;
Obecní rozpočty;2023;Holice;Přijaté transféry;
Obecní rozpočty;2023;Holice;Výdaje celkem;
Obecní rozpočty;2023;Holice;Běžné výdaje ;
Obecní rozpočty;2023;Holice;Kapitalové výdaje ;
Obecní rozpočty;2023;Holice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Horažďovice;Příjmy celkem;
Obecní rozpočty;2023;Horažďovice;Daňové příjmy ;
Obecní rozpočty;2023;Horažďovice;Nedaňové příjmy ;
Obecní rozpočty;2023;Horažďovice;Kapitalové příjmy ;
Obecní rozpočty;2023;Horažďovice;Přijaté transféry;
Obecní rozpočty;2023;Horažďovice;Výdaje celkem;
Obecní rozpočty;2023;Horažďovice;Běžné výdaje ;
Obecní rozpočty;2023;Horažďovice;Kapitalové výdaje ;
Obecní rozpočty;2023;Horažďovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Horšovský Týn;Příjmy celkem;
Obecní rozpočty;2023;Horšovský Týn;Daňové příjmy ;
Obecní rozpočty;2023;Horšovský Týn;Nedaňové příjmy ;
Obecní rozpočty;2023;Horšovský Týn;Kapitalové příjmy ;
Obecní rozpočty;2023;Horšovský Týn;Přijaté transféry;
Obecní rozpočty;2023;Horšovský Týn;Výdaje celkem;
Obecní rozpočty;2023;Horšovský Týn;Běžné výdaje ;
Obecní rozpočty;2023;Horšovský Týn;Kapitalové výdaje ;
Obecní rozpočty;2023;Horšovský Týn;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hořice;Příjmy celkem;
Obecní rozpočty;2023;Hořice;Daňové příjmy ;
Obecní rozpočty;2023;Hořice;Nedaňové příjmy ;
Obecní rozpočty;2023;Hořice;Kapitalové příjmy ;
Obecní rozpočty;2023;Hořice;Přijaté transféry;
Obecní rozpočty;2023;Hořice;Výdaje celkem;
Obecní rozpočty;2023;Hořice;Běžné výdaje ;
Obecní rozpočty;2023;Hořice;Kapitalové výdaje ;
Obecní rozpočty;2023;Hořice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hořovice;Příjmy celkem;
Obecní rozpočty;2023;Hořovice;Daňové příjmy ;
Obecní rozpočty;2023;Hořovice;Nedaňové příjmy ;
Obecní rozpočty;2023;Hořovice;Kapitalové příjmy ;
Obecní rozpočty;2023;Hořovice;Přijaté transféry;
Obecní rozpočty;2023;Hořovice;Výdaje celkem;
Obecní rozpočty;2023;Hořovice;Běžné výdaje ;
Obecní rozpočty;2023;Hořovice;Kapitalové výdaje ;
Obecní rozpočty;2023;Hořovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Hradec Králové;Příjmy celkem;
Obecní rozpočty;2023;Hradec Králové;Daňové příjmy ;
Obecní rozpočty;2023;Hradec Králové;Nedaňové příjmy ;
Obecní rozpočty;2023;Hradec Králové;Kapitalové příjmy ;
Obecní rozpočty;2023;Hradec Králové;Přijaté transféry;
Obecní rozpočty;2023;Hradec Králové;Výdaje celkem;
