Ukazatel;Druh nemovitosti;Typ údaje;Území;Čtvrtletí;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2018;126.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2018;137.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2018;142.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2018;147.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2019;150.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2019;155.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2019;157.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2019;169.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2020;178.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2020;190.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2020;189.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2020;196.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2021;218.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2021;221.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2021;243.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2021;260.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2022;267.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2022;288.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2022;284.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2022;270.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2023;263.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2023;262.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2023;259.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2023;260.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2015;97.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2015;99.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2015;100.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2015;102.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2016;105.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2016;112.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2016;117.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2016;122.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2017;129.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2017;132.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2017;134.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2017;132.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2018;139.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2018;141.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2018;148.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2018;147.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2019;153.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2019;158.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2019;155.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2019;156.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2020;160.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2020;176.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2020;172.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2020;175.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2021;196.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2021;202.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2021;219.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2021;229.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2022;251.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2022;256.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2022;260.3
