Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2018,652066.90377
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2017,1681409.71116
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2016,2044433.66144
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2015,441616.89756
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2014,533076.55
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2013,659809.43
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2012,250681.5
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2011,107956.43
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2010,1244256.36
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2009,-2703036.6
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2008,1362554.83
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2007,204026.48
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2024,3423115.70041
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2023,4425364.91528
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2022,629699.70797
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2021,3623891.58309
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2020,-1349636.10231
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2019,1806510.71103
