Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2023,139.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2024,129.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2016,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2017,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2018,104.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2019,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2020,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2021,108.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2022,135.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2023,129.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Papír a výrobky z papíru, vč. subdodavatelských prací",2024,123.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2016,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2017,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2018,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2019,102.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2020,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2021,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2022,127.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2023,143.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Tiskařské a nahrávací služby,2024,142.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2016,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2017,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2018,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2019,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2020,88.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2021,116.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2022,158.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2023,143.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Chemické látky a chemické přípravky, vč. subdodavatelských prací",2024,141.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2018,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2019,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2020,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2021,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2022,112.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2023,118.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2024,120.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2015,100.0
