Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet hostů;Celkem;9427302.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet hostů;Rezidenti;4591910.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet hostů;Nerezidenti;4835392.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet přenocování;Celkem;24181397.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet přenocování;Rezidenti;11866521.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Počet přenocování;Nerezidenti;12314876.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Průměrný počet přenocování ;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Průměrný počet přenocování ;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2018;Průměrný počet přenocování ;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet hostů;Celkem;3941858.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet hostů;Rezidenti;1925233.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet hostů;Nerezidenti;2016625.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet přenocování;Celkem;10697416.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet přenocování;Rezidenti;5273075.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2018;Počet přenocování;Nerezidenti;5424341.0
