Stát,Kumulace měsíců,Ukazatel,value
Česko,leden 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",45803.0
Česko,leden 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",30957.0
Česko,leden 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",12712.0
Česko,leden 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",18245.0
Česko,leden 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",14846.0
Česko,prosinec 2022,Počet stavebních povolení v ČR,86049.0
Česko,prosinec 2022,Počet vydaných stavebních povolení - budovy,49084.0
Česko,prosinec 2022,Počet vydaných stavebních povolení - budovy bytové,31969.0
Česko,prosinec 2022,Počet vydaných stavebních povolení - budovy nebytové,17115.0
Česko,prosinec 2022,Počet vydaných stavebních povolení - inženýrské stavby,36965.0
Česko,prosinec 2022,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",515091.0
Česko,prosinec 2022,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",342179.0
Česko,prosinec 2022,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",186179.0
Česko,prosinec 2022,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",156000.0
Česko,prosinec 2022,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",172912.0
