Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;únor 2024;99.3
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;březen 2024;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;duben 2024;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;květen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;červen 2024;100.5
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;červenec 2024;101.4
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;srpen 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;září 2024;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;říjen 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;listopad 2024;99.4
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;prosinec 2024;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;leden 2025;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;únor 2025;98.7
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;březen 2025;100.7
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;leden 2024;99.3
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;únor 2024;101.6
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;březen 2024;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;duben 2024;100.7
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;květen 2024;97.9
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;červen 2024;99.8
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;červenec 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;Oděvy;srpen 2024;99.0
