Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Jihozápadní Vysočina,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Jihozápadní Vysočina,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Jihozápadní Vysočina,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Koruna Vysočiny,Počet hromadných ubytovacích zařízení,143.0
2024,HUZ celkem,Koruna Vysočiny,Počet pokojů v hromadných ubytovacích zařízeních,2575.0
2024,HUZ celkem,Koruna Vysočiny,Počet lůžek v hromadných ubytovacích zařízeních,7817.0
2024,HUZ celkem,Koruna Vysočiny,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,861.0
2024,HUZ celkem,Severozápadní Vysočina,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Severozápadní Vysočina,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Severozápadní Vysočina,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Severozápadní Vysočina,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Třebíčsko,Počet hromadných ubytovacích zařízení,73.0
2024,HUZ celkem,Třebíčsko,Počet pokojů v hromadných ubytovacích zařízeních,1792.0
2024,HUZ celkem,Třebíčsko,Počet lůžek v hromadných ubytovacích zařízeních,5086.0
2024,HUZ celkem,Třebíčsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,733.0
2024,HUZ celkem,Kraj pod Javořicí,Počet hromadných ubytovacích zařízení,51.0
2024,HUZ celkem,Kraj pod Javořicí,Počet pokojů v hromadných ubytovacích zařízeních,908.0
2024,HUZ celkem,Kraj pod Javořicí,Počet lůžek v hromadných ubytovacích zařízeních,2596.0
2024,HUZ celkem,Kraj pod Javořicí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,173.0
2024,HUZ celkem,Střední Vysočina - Jihlavsko,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Střední Vysočina - Jihlavsko,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Střední Vysočina - Jihlavsko,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Střední Vysočina - Jihlavsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Vysočina west,Počet hromadných ubytovacích zařízení,133.0
2024,HUZ celkem,Vysočina west,Počet pokojů v hromadných ubytovacích zařízeních,2145.0
