Ukazatel,"ČR, kraje",Rok,Věk (roky),Pohlaví,value
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,90,Ženy,11998
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,91,Celkem,13830
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,91,Muži,3840
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,91,Ženy,9990
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,92,Celkem,11273
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,92,Muži,3064
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,92,Ženy,8209
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,93,Celkem,8536
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,93,Muži,2274
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,93,Ženy,6262
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,94,Celkem,6454
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,94,Muži,1602
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,94,Ženy,4852
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,95,Celkem,4229
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,95,Muži,941
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,95,Ženy,3288
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,96,Celkem,2965
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,96,Muži,662
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,96,Ženy,2303
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,97,Celkem,1864
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,97,Muži,385
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,97,Ženy,1479
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,98,Celkem,1241
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,98,Muži,237
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,98,Ženy,1004
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,99,Celkem,793
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,99,Muži,138
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,99,Ženy,655
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,100 a více,Celkem,977
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,100 a více,Muži,129
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,100 a více,Ženy,848
