Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet přenocování;Nerezidenti;1315873.0
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Průměrný počet přenocování ;Celkem;2.55398264
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Průměrný počet přenocování ;Rezidenti;2.5691030594
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Průměrný počet přenocování ;Nerezidenti;2.5362461861
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet hostů;Celkem;1301660.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet hostů;Rezidenti;605784.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet hostů;Nerezidenti;695876.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet přenocování;Celkem;3109015.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet přenocování;Rezidenti;1381837.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Počet přenocování;Nerezidenti;1727178.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Průměrný počet přenocování ;Celkem;2.3885000691
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Průměrný počet přenocování ;Rezidenti;2.2810721313
Hromadná ubytovací zařízení celkem;Česko;prosinec 2022;Průměrný počet přenocování ;Nerezidenti;2.4820197851
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet hostů;Celkem;1281760.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet hostů;Rezidenti;731686.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet hostů;Nerezidenti;550074.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet přenocování;Celkem;3027505.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet přenocování;Rezidenti;1682601.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Počet přenocování;Nerezidenti;1344904.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Průměrný počet přenocování ;Celkem;2.3619905443
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Průměrný počet přenocování ;Rezidenti;2.2996216956
Hromadná ubytovací zařízení celkem;Česko;listopad 2022;Průměrný počet přenocování ;Nerezidenti;2.444951043
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet hostů;Celkem;1708151.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet hostů;Rezidenti;956277.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet hostů;Nerezidenti;751874.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet přenocování;Celkem;4116732.0
