Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2018,103.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2018,103.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2018,104.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2019,104.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2019,104.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2019,104.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2019,104.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2020,104.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2020,103.8
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2020,103.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2020,102.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2021,102.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2021,104.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2021,107.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2021,109.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2022,112.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2022,114.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2022,112.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2022,112.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2023,109.4
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2023,106.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2023,103.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2023,102.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2024,101.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2024,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2024,101.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2025,102.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2004,102.6
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2004,103.9
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2004,104.3
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2004,104.3
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2005,104.2
