Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;Q - Zdravotní a sociální péče;Nepřímé náklady - sociální požitky;523.3089107866
Česko;2023;Q - Zdravotní a sociální péče;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;16117.7148065266
Česko;2023;Q - Zdravotní a sociální péče;Nepřímé náklady - sociální náklady/výdaje - ostatní;559.0617102812
Česko;2023;Q - Zdravotní a sociální péče;Nepřímé náklady - personální náklady/výdaje;347.7593965837
Česko;2023;Q - Zdravotní a sociální péče;Nepřímé náklady - daně a dotace;-405.8340567033
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Náklady práce celkem;50935.8635720336
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Přímé náklady celkem;37171.9010309777
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Přímé náklady - mzdy za vykonanou práci;33499.7826281861
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Přímé náklady - náhrady mzdy;3672.1184027917
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Nepřímé náklady - sociální požitky;360.35517519
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;12804.15853122
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Nepřímé náklady - sociální náklady/výdaje - ostatní;428.6780284282
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Nepřímé náklady - personální náklady/výdaje;218.9393973797
Česko;2023;R - Kulturní, zábavní a rekreační činnosti;Nepřímé náklady - daně a dotace;-48.1685911621
Česko;2023;S - Ostatní činnosti;Náklady práce celkem;41597.9580424484
Česko;2023;S - Ostatní činnosti;Přímé náklady celkem;31040.302542874
Česko;2023;S - Ostatní činnosti;Přímé náklady - mzdy za vykonanou práci;28013.0207825964
Česko;2023;S - Ostatní činnosti;Přímé náklady - náhrady mzdy;3027.2817602776
Česko;2023;S - Ostatní činnosti;Nepřímé náklady - sociální požitky;216.1893003516
Česko;2023;S - Ostatní činnosti;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;10598.3535094868
Česko;2023;S - Ostatní činnosti;Nepřímé náklady - sociální náklady/výdaje - ostatní;311.6803152305
Česko;2023;S - Ostatní činnosti;Nepřímé náklady - personální náklady/výdaje;152.3375593602
Česko;2023;S - Ostatní činnosti;Nepřímé náklady - daně a dotace;-720.9051848546
