Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2545.6960847288
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.8089807147
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),241.8420117129
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.470398817
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.3956745512
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45023.6021529728
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2368.3551271949
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.5523183954
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),253.2611927025
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.8693131185
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.6579264989
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42993.5530313397
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2154.0995306299
