Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2002;93.969266101
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2001;98.1304694863
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2024;100.4406668869
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2023;94.6508182868
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2022;116.4526939
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2021;120.4840891204
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2020;93.6980101563
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2019;101.1464661407
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2018;107.5473558983
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2017;108.6733810552
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2016;102.2690907321
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2015;107.9700037656
