Území,Týdny,Ukazatel,Druh PHM,value
Česko, 46. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 45. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.8
Česko, 45. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.41
Česko, 45. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.23
Česko, 45. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 45. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 45. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 44. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.86
Česko, 44. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.51
Česko, 44. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.08
Česko, 44. týden 2024,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,
Česko, 44. týden 2024,Index cen pohonných hmot (%),Motorová nafta,
Česko, 44. týden 2024,Index cen pohonných hmot (%),LPG,
Česko, 43. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.77
Česko, 43. týden 2024,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.42
Česko, 43. týden 2024,Průměrná cena pohonných hmot (Kč/litr),LPG,17.07
