Území,Měsíce,Ukazatel,value
Česko,listopad 2020,Spotřebitelé,-18.5
Česko,říjen 2020,Souhrnný indikátor,-4.785
Česko,říjen 2020,Podnikatelé,-1.8
Česko,říjen 2020,Podnikatelé - průmysl,-6.3
Česko,říjen 2020,Podnikatelé - stavebnictví,-10.0
Česko,říjen 2020,Podnikatelé - obchod,13.7
Česko,říjen 2020,Podnikatelé - služby,3.0
Česko,říjen 2020,Spotřebitelé,-16.75
Česko,září 2020,Souhrnný indikátor,-0.53
Česko,září 2020,Podnikatelé,1.7
Česko,září 2020,Podnikatelé - průmysl,-7.3
Česko,září 2020,Podnikatelé - stavebnictví,-9.0
Česko,září 2020,Podnikatelé - obchod,14.0
Česko,září 2020,Podnikatelé - služby,13.3
Česko,září 2020,Spotřebitelé,-9.25
Česko,srpen 2020,Souhrnný indikátor,-4.02
Česko,srpen 2020,Podnikatelé,-2.8
Česko,srpen 2020,Podnikatelé - průmysl,-6.3
Česko,srpen 2020,Podnikatelé - stavebnictví,-13.0
Česko,srpen 2020,Podnikatelé - obchod,12.0
Česko,srpen 2020,Podnikatelé - služby,1.0
Česko,srpen 2020,Spotřebitelé,-8.75
Česko,červenec 2020,Souhrnný indikátor,-4.34
Česko,červenec 2020,Podnikatelé,-3.7
Česko,červenec 2020,Podnikatelé - průmysl,-8.0
Česko,červenec 2020,Podnikatelé - stavebnictví,-16.0
Česko,červenec 2020,Podnikatelé - obchod,4.0
Česko,červenec 2020,Podnikatelé - služby,2.7
Česko,červenec 2020,Spotřebitelé,-6.75
Česko,červen 2020,Souhrnný indikátor,-14.655
Česko,červen 2020,Podnikatelé,-16.1
Česko,červen 2020,Podnikatelé - průmysl,-28.3
Česko,červen 2020,Podnikatelé - stavebnictví,-16.5
Česko,červen 2020,Podnikatelé - obchod,7.0
Česko,červen 2020,Podnikatelé - služby,-3.7
Česko,červen 2020,Spotřebitelé,-8.75
Česko,květen 2020,Souhrnný indikátor,-16.76
Česko,květen 2020,Podnikatelé,-18.6
Česko,květen 2020,Podnikatelé - průmysl,-25.3
Česko,květen 2020,Podnikatelé - stavebnictví,-15.0
Česko,květen 2020,Podnikatelé - obchod,-1.0
Česko,květen 2020,Podnikatelé - služby,-13.3
Česko,květen 2020,Spotřebitelé,-9.25
Česko,duben 2020,Souhrnný indikátor,-16.38
Česko,duben 2020,Podnikatelé,-16.2
Česko,duben 2020,Podnikatelé - průmysl,-26.3
Česko,duben 2020,Podnikatelé - stavebnictví,-12.5
Česko,duben 2020,Podnikatelé - obchod,-0.7
Česko,duben 2020,Podnikatelé - služby,-6.0
Česko,duben 2020,Spotřebitelé,-17.0
Česko,březen 2020,Souhrnný indikátor,3.59
Česko,březen 2020,Podnikatelé,5.8
Česko,březen 2020,Podnikatelé - průmysl,-9.3
Česko,březen 2020,Podnikatelé - stavebnictví,-3.0
Česko,březen 2020,Podnikatelé - obchod,16.0
Česko,březen 2020,Podnikatelé - služby,25.7
Česko,březen 2020,Spotřebitelé,-5.25
Česko,únor 2020,Souhrnný indikátor,7.135
Česko,únor 2020,Podnikatelé,9.4
Česko,únor 2020,Podnikatelé - průmysl,-5.0
Česko,únor 2020,Podnikatelé - stavebnictví,-3.0
Česko,únor 2020,Podnikatelé - obchod,18.7
Česko,únor 2020,Podnikatelé - služby,29.0
Česko,únor 2020,Spotřebitelé,-1.75
Česko,leden 2020,Souhrnný indikátor,7.715
Česko,leden 2020,Podnikatelé,9.8
Česko,leden 2020,Podnikatelé - průmysl,-6.7
Česko,leden 2020,Podnikatelé - stavebnictví,1.0
Česko,leden 2020,Podnikatelé - obchod,14.3
Česko,leden 2020,Podnikatelé - služby,32.6
Česko,leden 2020,Spotřebitelé,-0.75
Česko,prosinec 2019,Souhrnný indikátor,8.33
Česko,prosinec 2019,Podnikatelé,10.0
Česko,prosinec 2019,Podnikatelé - průmysl,-4.7
Česko,prosinec 2019,Podnikatelé - stavebnictví,3.0
Česko,prosinec 2019,Podnikatelé - obchod,10.0
Česko,prosinec 2019,Podnikatelé - služby,30.7
Česko,prosinec 2019,Spotřebitelé,1.75
Česko,listopad 2019,Souhrnný indikátor,7.815
Česko,listopad 2019,Podnikatelé,9.9
Česko,listopad 2019,Podnikatelé - průmysl,-6.7
Česko,listopad 2019,Podnikatelé - stavebnictví,1.0
Česko,listopad 2019,Podnikatelé - obchod,14.7
Česko,listopad 2019,Podnikatelé - služby,32.7
Česko,listopad 2019,Spotřebitelé,-0.5
Česko,říjen 2019,Souhrnný indikátor,7.89
Česko,říjen 2019,Podnikatelé,10.0
Česko,říjen 2019,Podnikatelé - průmysl,-6.0
Česko,říjen 2019,Podnikatelé - stavebnictví,1.5
Česko,říjen 2019,Podnikatelé - obchod,8.3
Česko,říjen 2019,Podnikatelé - služby,33.0
Česko,říjen 2019,Spotřebitelé,-0.5
Česko,září 2019,Souhrnný indikátor,9.295
Česko,září 2019,Podnikatelé,11.6
Česko,září 2019,Podnikatelé - průmysl,-3.0
Česko,září 2019,Podnikatelé - stavebnictví,-1.0
Česko,září 2019,Podnikatelé - obchod,13.7
Česko,září 2019,Podnikatelé - služby,32.7
Česko,září 2019,Spotřebitelé,0.25
Česko,srpen 2019,Souhrnný indikátor,10.435
Česko,srpen 2019,Podnikatelé,12.5
Česko,srpen 2019,Podnikatelé - průmysl,-3.0
Česko,srpen 2019,Podnikatelé - stavebnictví,-1.0
Česko,srpen 2019,Podnikatelé - obchod,14.7
Česko,srpen 2019,Podnikatelé - služby,35.0
Česko,srpen 2019,Spotřebitelé,2.25
Česko,červenec 2019,Souhrnný indikátor,9.715
Česko,červenec 2019,Podnikatelé,11.5
Česko,červenec 2019,Podnikatelé - průmysl,-3.0
Česko,červenec 2019,Podnikatelé - stavebnictví,2.0
Česko,červenec 2019,Podnikatelé - obchod,13.3
Česko,červenec 2019,Podnikatelé - služby,32.0
Česko,červenec 2019,Spotřebitelé,2.75
Česko,červen 2019,Souhrnný indikátor,9.59
Česko,červen 2019,Podnikatelé,11.9
Česko,červen 2019,Podnikatelé - průmysl,-3.0
Česko,červen 2019,Podnikatelé - stavebnictví,4.5
Česko,červen 2019,Podnikatelé - obchod,11.3
Česko,červen 2019,Podnikatelé - služby,33.0
