Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,32,Naděje dožití (ex),47.5165639063
Hlavní město Praha,2023-2024,muži,33,Počet zemřelých (Dx),20.0
Hlavní město Praha,2023-2024,muži,33,Počet obyvatel (Px),21768.0
Hlavní město Praha,2023-2024,muži,33,Míra úmrtnosti (mx),0.0007932931
Hlavní město Praha,2023-2024,muži,33,Pravděpodobnost úmrtí (qx),0.0007929786
Hlavní město Praha,2023-2024,muži,33,Tabulkový počet dožívajících (lx),98788.6523548732
Hlavní město Praha,2023-2024,muži,33,Tabulkový počet zemřelých (dx),78.3372858194
Hlavní město Praha,2023-2024,muži,33,Tabulkový počet žijících (Lx),98749.4837119634
Hlavní město Praha,2023-2024,muži,33,Pomocný ukazatel (Tx),4598689.78075796
Hlavní město Praha,2023-2024,muži,33,Naděje dožití (ex),46.5507897024
Hlavní město Praha,2023-2024,muži,34,Počet zemřelých (Dx),15.0
Hlavní město Praha,2023-2024,muži,34,Počet obyvatel (Px),21843.0
Hlavní město Praha,2023-2024,muži,34,Míra úmrtnosti (mx),0.0008682392
Hlavní město Praha,2023-2024,muži,34,Pravděpodobnost úmrtí (qx),0.0008678625
Hlavní město Praha,2023-2024,muži,34,Tabulkový počet dožívajících (lx),98710.3150690537
Hlavní město Praha,2023-2024,muži,34,Tabulkový počet zemřelých (dx),85.6669766704
Hlavní město Praha,2023-2024,muži,34,Tabulkový počet žijících (Lx),98667.4815807185
Hlavní město Praha,2023-2024,muži,34,Pomocný ukazatel (Tx),4499940.297046
Hlavní město Praha,2023-2024,muži,34,Naděje dožití (ex),45.5873359729
Hlavní město Praha,2023-2024,muži,35,Počet zemřelých (Dx),19.0
Hlavní město Praha,2023-2024,muži,35,Počet obyvatel (Px),22123.0
Hlavní město Praha,2023-2024,muži,35,Míra úmrtnosti (mx),0.000951488
Hlavní město Praha,2023-2024,muži,35,Pravděpodobnost úmrtí (qx),0.0009510356
Hlavní město Praha,2023-2024,muži,35,Tabulkový počet dožívajících (lx),98624.6480923833
Hlavní město Praha,2023-2024,muži,35,Tabulkový počet zemřelých (dx),93.7955501169
Hlavní město Praha,2023-2024,muži,35,Tabulkový počet žijících (Lx),98577.7503173248
Hlavní město Praha,2023-2024,muži,35,Pomocný ukazatel (Tx),4401272.81546528
