Území;Čtvrtletí;Odvětví ekonomické činnosti;Ukazatel;value
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);104.0449244578
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);27123.3643724348
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2422.6806664318
Česko;4. čtvrtletí 2024;I - Ubytování, stravování a pohostinství;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);109.8081522571
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);137.7519256715
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.7440907498
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.5431008746
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);85270.2698944339
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);5782.1250406053
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.2741979967
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);142.7665211221
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);1.1729946517
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.8284239265
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);82275.1986121512
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);5361.3812940852
Česko;4. čtvrtletí 2024;J - Informační a komunikační činnosti;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.9706347715
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);71.4378546946
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);1.1431030579
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.6261570478
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);74614.6790468131
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4718.3994498217
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.7505731021
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);73.9358671043
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);0.8878258601
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.2153999546
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);72093.7321571923
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);4831.9475712407
Česko;4. čtvrtletí 2024;K - Peněžnictví a pojišťovnictví;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.1837932951
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);50.3202571138
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);7.4007237761
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);117.2432531312
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);47941.7135219579
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);6605.5262615369
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);115.9800085574
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);57.3907818682
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);9.8424928028
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);120.6999936197
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);42035.3107654849
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);4723.1402952228
Česko;4. čtvrtletí 2024;L - Činnosti v oblasti nemovitostí;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);112.658444244
Česko;4. čtvrtletí 2024;M - Profesní, vědecké a technické činnosti;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);178.1403436959
Česko;4. čtvrtletí 2024;M - Profesní, vědecké a technické činnosti;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);3.8023278278
Česko;4. čtvrtletí 2024;M - Profesní, vědecké a technické činnosti;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);102.1810090065
Česko;4. čtvrtletí 2024;M - Profesní, vědecké a technické činnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);62786.5701643143
Česko;4. čtvrtletí 2024;M - Profesní, vědecké a technické činnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);6836.4749356607
