Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2014;12487.16
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2015;10019.55
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2016;20954.26
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2017;9256.1926
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2018;12919.47
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2019;8282.05
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2020;13591.4
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2021;14238.52
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2022;9130.12
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2023;4049.91
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny a směsi obilovin na zrno;2024;6302.38
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2009;3275.34
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2010;3649.34
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2011;6630.57
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2012;9633.26
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2013;5253.0
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2014;7033.65
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2015;3027.31
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2016;13219.83157442
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2017;1768.9426
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2018;4844.81
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2019;1753.55
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2020;3099.68
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2021;3730.61
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2022;1277.91
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2023;89.22
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno;2024;166.34
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2009;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2010;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2011;154.96
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2012;1116.25
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2013;808.35
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2014;1249.99
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2015;758.42
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2016;3093.39
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2017;483.0426
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2018;637.33
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2019;615.54
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2020;1259.27
